CANCELLED,WIND_SPD,VISIBILITY,TEMPERATURE,LOWEST_CLOUD_LAYER,ACTIVE_WEATHER
0,7,8,9.39,300,0
0,6,10,12.22,4800,0
2,,,,,
0,9,5,2.22,500,1
0,8,10,20,1500,0
0,5,3,21.72,1700,1
0,4,7,17.22,3700,1
0,11,10,20,1800,0
0,12,10,28.89,0,0
0,0,2,13.28,400,1
0,6,10,25,4000,0
0,8,10,8.28,5000,0
0,0,10,7.78,2000,0
0,8,8,23,1400,1
0,3,5,6.11,800,1
0,0,5,13.28,700,1
0,11,10,26.72,2800,0
0,8,10,10,3300,1
0,0,2,13.28,400,1
0,5,10,9.39,1000,0
0,8,10,20,1500,0
2,,,,,
2,,,,,
0,6,10,23.28,500,0
0,3,2.5,13.28,400,1
0,14,10,15,8000,1
0,16,10,23.28,3300,0
0,11,10,26.72,2600,0
0,4,0.25,7.78,400,1
1,,,,,
0,7,10,16.72,3700,0
0,9,10,21.72,700,0
0,10,10,25.61,2800,0
0,15,10,23.89,2800,0
0,4,10,17.22,3800,0
2,,,,,
0,11,10,26.72,2800,0
0,6,10,14.39,4100,0
0,3,10,11.11,0,0
0,8,9,25,2500,0
0,0,10,18.28,6000,0
0,5,9,18.28,500,0
2,,,,,
0,7,10,16.72,3700,0
0,4,10,22.22,2300,0
0,0,4,17.78,2800,1
0,11,10,26.72,2600,0
0,7,6,18.89,700,1
0,7,10,15.61,3000,0
0,11,10,23.28,2500,0
0,11,4,20,900,1
0,4,0.75,11.72,400,1
0,0,10,18.28,6000,0
0,10,10,21.11,3000,0
0,7,4,2.78,700,1
0,12,10,12.78,2300,1
0,10,10,20.61,900,0
0,0,4,17.78,2800,1
0,6,10,10.61,2100,0
0,7,9,17.78,800,0
0,9,10,26.11,2700,0
0,4,7,17.22,3700,1
0,12,6,4.39,600,1
0,11,4,20,900,1
0,10,10,21.11,3000,0
0,0,5,10,500,1
0,0,1.5,11.11,300,1
0,14,10,22.78,2700,0
0,4,7,17.22,3700,1
0,13,7,1.11,1200,0
0,10,10,22.78,2200,0
2,,,,,
0,5,5,13.89,500,1
0,13,2,1.72,500,1
0,19,7,-11.11,1300,1
0,11,10,27.22,3000,0
2,,,,,
0,10,10,18.89,2000,0
0,9,10,10,2600,0
0,9,10,22.78,2600,0
0,5,10,13.89,3000,0
0,,,,,
0,13,2,1.72,500,1
0,11,10,22.22,3400,0
0,0,4,17.78,2800,1
0,10,10,21.11,3000,0
0,11,10,21.72,1700,0
0,3,10,22.78,2000,0
0,16,10,10,10000,0
0,3,1,8.28,500,1
0,4,7,17.22,3700,1
0,16,10,9.39,1800,0
0,7,10,20,1600,0
0,11,10,26.72,2800,0
0,11,10,26.72,2800,0
0,16,10,9.39,10000,0
0,9,8,13.28,1000,1
0,0,2,15,500,1
2,,,,,
